Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag
29-04-2024,Europe West,Compute,429,512,61.41,98.31,1.1,0
25-03-2025,Asia East,Compute,440,486,55.64,98.15,1.25,0
18-07-2024,India South,Storage,330,360,24.65,97.71,1.45,0
11-10-2024,Asia East,Storage,314,384,27.47,97.04,1.06,0
01-03-2024,US East,Storage,318,339,26.89,98.96,1.49,1
29-09-2024,US West,Compute,148,167,18.32,99.59,1.21,0
29-12-2024,US South,Storage,519,613,41.36,99.58,1.4,0
19-07-2024,US North,Storage,281,295,25.06,99.8,1.05,0
25-12-2024,Europe West,Compute,103,122,14.18,99.38,1.19,0
22-02-2024,US East,Storage,92,98,7.37,97.38,0.93,0
18-03-2024,Asia East,Compute,398,445,48.15,98.43,0.95,0
08-02-2025,US South,Storage,357,435,29.1,97,1.2,0
28-05-2025,US North,Compute,97,116,15.53,99.62,1.08,0
18-07-2024,Europe West,Compute,149,163,19.09,98.84,1.04,0
13-06-2025,US West,Storage,129,156,10.32,97.57,0.88,0
08-02-2024,Europe West,Compute,97,107,14.07,97.02,0.92,0
03-06-2025,US North,Storage,86,100,8.5,99.24,1.11,0
05-10-2024,US South,Compute,316,339,57.31,99.79,1.39,1
17-05-2025,US East,Storage,191,238,13.87,98.82,0.99,0
08-01-2025,Europe West,Storage,214,266,13.74,99.54,0.85,0
25-09-2024,US East,Storage,458,549,27.86,97.73,1.34,0
01-09-2024,US North,Storage,424,524,37.78,97.87,1.31,0
10-08-2024,Asia East,Compute,82,92,9.87,98.06,1.44,0
29-05-2024,India South,Storage,159,189,8.88,97.3,1.17,0
25-02-2024,US North,Compute,103,111,13.88,99.85,1.01,0
20-11-2024,Europe West,Compute,184,220,25.39,97.68,1.41,0
25-09-2024,US East,Compute,434,463,59.42,99.91,1.41,0
21-09-2024,India South,Compute,640,763,123.1,97.72,1.34,0
14-01-2025,US East,Storage,332,376,23.77,98.48,1.09,0
12-02-2025,US East,Compute,167,185,25.03,97.43,1.18,1
13-05-2025,US South,Storage,365,432,29.05,97.74,1.29,0
11-06-2024,US South,Compute,330,365,53.96,98.06,0.9,0
22-10-2024,US North,Storage,485,559,31.12,97.99,1.15,0
02-04-2025,Europe West,Storage,129,139,9.34,99.52,1.46,0
20-10-2024,US South,Storage,130,145,7.27,97.53,0.92,0
18-09-2024,India South,Storage,109,127,10.03,99.58,1.27,0
29-01-2025,US West,Storage,67,74,4.73,99.3,1.09,0
15-10-2024,US North,Compute,133,150,16.79,98.95,1.44,0
25-04-2024,Europe West,Compute,528,568,66.23,97.71,1.13,0
16-07-2024,US East,Storage,350,413,30.7,97.26,1.02,0
21-07-2024,India South,Compute,411,489,75.4,97.76,1.46,0
17-06-2024,US South,Storage,212,240,20.48,99.64,0.86,0
01-10-2024,India South,Compute,536,583,71.97,98.5,1.39,0
27-12-2024,US South,Storage,573,612,40.79,98.45,1.28,0
17-05-2025,Asia East,Storage,132,152,11.79,98.86,1.01,0
23-05-2025,US North,Storage,117,134,7.65,98.71,1.16,1
26-04-2025,US South,Storage,459,498,43.49,97.15,1.41,0
01-01-2024,Asia East,Compute,197,222,30.38,99.49,0.87,0
23-01-2024,US West,Compute,127,152,19.82,97.46,1.36,0
25-01-2025,India South,Storage,255,299,20.28,99.9,0.94,0
11-06-2024,Europe West,Storage,90,110,7.57,99.68,1.21,0
02-03-2025,Asia East,Storage,198,224,19.17,99.48,0.93,0
26-04-2025,India South,Compute,595,640,75.56,97.37,1.37,0
02-07-2024,US South,Compute,298,337,41.98,97.26,0.81,0
11-02-2025,US West,Compute,153,171,23.02,98.03,0.91,0
13-06-2025,US South,Storage,147,166,11.67,97.85,1.21,1
12-03-2024,US North,Storage,466,577,34.9,98.05,1.43,0
31-07-2024,US East,Compute,633,785,89.72,97.44,1.49,0
10-04-2025,US East,Storage,113,141,10.95,98.91,1.38,0
15-01-2024,US East,Storage,599,727,30.29,98.71,1.28,0
22-05-2025,US South,Storage,208,222,16.73,98.93,0.99,0
02-02-2024,US East,Compute,137,165,25.12,99.63,1.49,0
21-04-2024,US West,Compute,227,259,30.09,97.31,1.21,0
04-11-2024,Europe West,Storage,507,572,35.05,99.4,1.24,0
15-01-2024,US West,Storage,590,709,54.9,97.32,1.24,0
28-03-2024,US East,Storage,466,494,33.34,98.48,1.01,0
16-06-2025,US West,Compute,80,97,12.13,98.42,0.86,0
11-05-2025,Europe West,Compute,57,60,9.64,97.72,1.07,0
14-10-2024,US South,Storage,124,142,11.99,97.49,0.91,0
14-01-2024,US North,Storage,641,717,54.6,97.6,1.35,0
16-09-2024,US East,Compute,386,463,69.16,99.31,0.97,0
27-12-2024,US West,Compute,165,180,20.09,99.41,1.26,0
28-04-2024,Europe West,Compute,148,157,28.24,99.72,1.04,0
01-11-2024,US South,Compute,510,576,88.92,97.68,1.42,1
24-12-2024,US North,Storage,116,141,9.31,99.54,1.45,0
19-04-2025,Asia East,Storage,640,780,62.9,99.3,1.32,0
11-05-2025,US West,Storage,52,60,4.11,98.11,0.8,0
18-12-2024,Asia East,Storage,322,359,23.99,98.42,1.45,1
19-03-2025,Europe West,Storage,84,103,6.13,99.04,1.02,0
16-09-2024,India South,Compute,233,256,32.77,98.43,1.38,0
16-04-2025,US South,Storage,300,359,29.47,99.84,0.84,0
21-05-2024,Europe West,Compute,626,679,120.97,99.84,1.38,0
07-07-2024,US East,Storage,92,107,7.07,97.58,1.05,1
20-11-2024,US West,Compute,98,109,13.85,99.09,0.98,1
12-01-2025,US East,Storage,366,409,18.84,99.55,1.42,1
18-05-2024,US North,Storage,550,686,40.44,97.09,1.44,0
01-07-2024,US East,Compute,188,230,30.49,98.44,1.06,0
26-02-2025,US North,Compute,272,316,42.99,99.45,1.32,1
25-08-2024,US North,Compute,84,91,15.35,98.75,0.86,1
12-10-2024,US East,Compute,659,791,103.78,97.15,1.34,0
01-12-2024,Europe West,Compute,128,150,16.17,99.43,1.19,0
20-04-2025,US West,Storage,240,254,23.81,97.37,1.44,0
30-05-2024,US West,Storage,456,488,31.35,98.09,0.95,0
12-04-2024,US West,Storage,592,725,57.3,99.87,1.48,0
11-05-2025,India South,Compute,268,288,37.11,99.12,1.1,0
06-02-2024,India South,Compute,194,241,33.34,98.93,1.16,0
02-02-2024,India South,Compute,89,105,14.82,97.67,0.95,0
01-02-2025,India South,Storage,217,245,19.44,97.68,1.13,1
09-10-2024,US North,Storage,195,227,17.3,97.65,1.3,0
31-05-2024,Europe West,Storage,617,672,37.56,97.86,1.44,0
15-03-2025,US North,Storage,202,212,10.11,97.67,0.85,0
31-01-2025,Asia East,Storage,514,640,46.97,99.01,1.33,0
31-05-2024,US East,Compute,203,242,39.47,97.37,0.93,0
14-06-2025,India South,Compute,343,413,55.78,97.22,0.91,0
08-03-2024,US North,Compute,302,330,45.04,98.9,0.87,0
30-08-2024,US West,Storage,221,270,20.01,98.73,1.02,1
27-12-2024,US East,Storage,521,596,27.92,97.54,1.35,0
10-02-2025,Asia East,Compute,194,220,38.59,99.37,1.46,0
15-03-2025,US West,Compute,299,341,46.24,97.82,1.27,1
04-05-2024,Asia East,Compute,284,346,40.41,99.48,0.94,0
17-01-2025,Asia East,Storage,296,332,18.86,98.93,0.85,0
19-05-2024,India South,Storage,262,303,23.19,99.31,0.88,0
09-07-2024,India South,Storage,69,79,6.01,97.88,1,1
22-06-2024,Asia East,Storage,340,392,31.07,97.06,1.43,1
20-04-2025,US West,Compute,258,280,46.41,97.07,0.89,0
28-03-2025,US East,Compute,273,300,52.54,99.65,1.04,0
18-07-2024,US East,Compute,410,431,69.92,98.66,1.14,0
26-02-2024,India South,Storage,299,319,28.54,97.92,0.85,0
27-10-2024,US North,Storage,172,212,16.1,98.44,1.23,0
09-11-2024,Asia East,Storage,303,369,21.86,97.42,0.91,0
03-12-2024,US North,Compute,209,248,41.22,98.84,0.88,1
27-09-2024,US West,Compute,542,595,65.2,97.4,1.42,0
23-03-2025,India South,Storage,141,170,11.17,98.05,1.21,0
02-11-2024,US South,Compute,123,144,17.6,97.99,1.29,0
15-11-2024,Europe West,Storage,212,246,18.57,98.94,0.91,0
06-10-2024,US East,Storage,327,350,21.94,99.96,1.23,0
24-09-2024,US South,Storage,422,489,22.9,97.84,1.04,0
25-06-2024,US North,Compute,210,255,41.19,98.39,0.9,1
21-09-2024,Asia East,Storage,576,718,56.31,99.11,1.27,0
16-04-2025,India South,Storage,251,301,18.01,98.05,1.1,0
29-07-2024,US West,Compute,77,86,9.46,97.62,1.07,0
24-02-2025,India South,Storage,126,146,9.89,99.54,1.06,0
14-08-2024,US South,Storage,319,385,22.78,97.33,0.95,0
06-05-2025,Asia East,Compute,538,642,84.65,98.06,1.38,0
06-04-2024,Asia East,Storage,414,445,31.23,99.59,1.06,0
06-07-2024,India South,Storage,413,480,31.25,99.35,1.08,0
07-04-2024,US West,Compute,261,293,48.86,99.67,0.96,0
04-02-2025,US East,Compute,298,334,51.58,97.7,1.02,0
03-03-2024,Asia East,Compute,245,271,42.74,97.1,0.82,0
26-05-2024,US West,Storage,584,624,30.15,97.08,1.24,0
30-01-2025,US West,Compute,361,448,47.68,97.19,1.34,0
02-04-2025,India South,Compute,677,735,97.44,99.27,1.4,0
04-12-2024,India South,Storage,465,530,24.32,99.49,1.1,0
07-04-2025,US South,Storage,349,424,25.57,99.92,1.35,0
29-01-2025,US East,Storage,281,339,15.49,98.88,1.02,0
19-01-2025,US East,Storage,196,218,14.49,97.64,1.17,0
22-03-2024,US West,Compute,658,752,80.03,98.85,1.49,0
01-05-2024,Asia East,Compute,530,616,100.86,99.43,1.34,0
12-04-2025,India South,Storage,686,730,40.65,98.86,1.48,0
30-10-2024,US North,Storage,187,206,16.24,98.03,0.88,1
24-08-2024,India South,Storage,289,338,17.41,97.37,1.34,0
26-12-2024,US South,Storage,77,83,4.38,97.69,1.17,0
13-12-2024,US North,Compute,344,372,52.81,99.97,1.35,0
23-01-2024,Asia East,Compute,168,206,25.12,99.13,0.82,0
09-12-2024,US North,Storage,491,569,45.32,99.2,1.28,0
21-03-2025,US South,Storage,267,326,17.48,97.81,0.86,0
22-10-2024,US North,Compute,579,708,87.55,98.67,1.35,0
10-06-2024,India South,Compute,281,313,49.17,99.07,1.15,0
06-01-2024,US East,Compute,210,246,38.9,98.13,0.96,0
22-08-2024,US North,Storage,376,402,33.87,98.73,1.23,0
10-03-2024,India South,Storage,301,319,27.48,98.89,1.47,0
19-01-2025,Europe West,Storage,376,455,32.61,99.19,1.1,0
31-05-2024,US South,Compute,496,536,72.28,97.84,1.34,1
03-01-2025,US South,Storage,439,547,35.81,98.62,0.88,0
22-07-2024,US East,Compute,279,344,55.01,97.48,0.97,0
31-03-2024,US North,Compute,279,340,40.23,98.63,1.27,0
04-04-2024,US South,Storage,616,670,35.94,97.68,1.3,0
16-05-2025,India South,Compute,592,722,104.56,98.23,1.23,0
04-06-2024,Europe West,Compute,269,303,38.38,99.31,0.98,0
20-05-2024,Asia East,Storage,136,158,13.22,98.16,1.45,0
28-03-2024,US West,Storage,251,291,21.48,98.59,1.28,1
23-06-2025,India South,Compute,118,136,20.63,98,0.99,0
15-02-2025,US South,Compute,217,229,27.52,99.43,1.16,1
26-05-2025,US South,Storage,552,590,43.44,99.28,1.13,0
02-02-2025,Asia East,Compute,322,346,50.69,99.7,1.44,0
04-02-2024,India South,Compute,412,456,76.3,98.03,0.97,0
20-03-2025,India South,Storage,76,87,5.49,99.41,0.87,1
18-04-2024,US East,Storage,44,53,2.61,99.81,0.8,0
23-05-2024,India South,Compute,209,259,33.41,98.28,0.88,0
29-07-2024,Asia East,Storage,196,242,12.72,99.45,1.03,0
12-07-2024,Europe West,Compute,485,536,70.93,99.98,1.36,0
18-10-2024,US North,Compute,207,231,31.03,99.86,1.45,0
11-01-2024,US West,Storage,473,555,30.4,98.52,1.14,0
10-04-2024,US South,Storage,153,190,12.61,97.61,0.95,0
25-08-2024,US North,Compute,122,144,21.59,98.39,1.42,0
04-09-2024,Asia East,Storage,182,195,15.91,99.23,1.09,0
18-04-2025,US South,Storage,528,600,52.43,97.69,1.49,0
02-06-2025,Asia East,Storage,170,181,8.81,97.29,0.91,0
20-03-2024,US East,Storage,234,263,14.08,98.6,1.06,0
06-09-2024,US South,Compute,159,176,26.66,97.21,1.34,0
30-08-2024,Europe West,Storage,42,49,2.3,97.46,0.85,1
05-06-2025,Europe West,Storage,161,191,12.79,99.07,0.86,0
01-07-2024,US South,Compute,409,465,54.99,99.58,1.13,0
08-10-2024,US West,Storage,148,162,7.71,99.12,0.96,0
24-02-2025,US West,Storage,543,602,41.35,98.45,1.4,0
09-08-2024,US West,Storage,124,146,9.99,99.69,1.14,1
16-02-2024,US West,Storage,384,440,23.82,99.15,1.41,0
06-02-2025,US North,Storage,211,252,13.36,97.16,1.25,0
30-07-2024,Europe West,Storage,249,289,13.8,97.2,1.3,1
01-01-2024,Asia East,Storage,173,185,10.47,97.58,1.42,0
29-03-2024,US West,Compute,470,532,60.19,97.72,1,0
26-12-2024,US East,Compute,394,463,47.93,98.62,1.09,0
24-09-2024,India South,Storage,687,786,44.44,97.31,1.5,0
04-02-2024,US North,Storage,117,123,9.9,98.17,0.84,0
26-01-2024,US South,Storage,316,361,22.23,98.2,1.33,0
09-12-2024,India South,Compute,538,629,66.44,98.38,1.3,0
13-01-2025,Europe West,Storage,534,617,41.37,99.81,1.2,0
30-05-2024,US South,Compute,521,607,75.04,99.59,1.34,0
01-03-2024,Asia East,Storage,276,344,25.72,99.76,1.23,0
26-01-2025,US South,Compute,57,69,10.61,98.16,0.83,0
27-03-2024,US East,Storage,425,483,22.3,97.72,1.27,0
12-01-2025,US North,Compute,57,60,9.19,98.04,0.88,0
05-06-2024,Europe West,Compute,334,396,43.48,97.02,1.28,0
17-03-2025,US South,Storage,56,62,5.37,99.34,1.29,1
27-07-2024,India South,Compute,463,543,72.15,98,1.27,0
13-01-2024,US South,Compute,434,511,78.1,97.09,1.29,0
24-03-2024,US East,Storage,329,360,29.57,99.34,1.02,0
04-05-2024,US North,Storage,424,517,35.46,98.15,0.91,0
07-03-2024,India South,Storage,291,312,28.82,97.58,0.95,1
29-01-2024,Asia East,Compute,95,99,16.48,97.81,1.09,0
28-07-2024,US East,Compute,476,584,64.02,99.13,1.47,0
24-07-2024,India South,Storage,266,300,14.71,98,0.87,1
10-03-2024,Asia East,Storage,88,105,6.8,99.75,0.88,0
09-09-2024,US South,Compute,547,654,100.75,99.47,1.18,0
03-03-2024,India South,Storage,55,58,4.42,99.2,1.05,0
15-06-2025,US South,Compute,100,117,19.06,97.63,1.04,0
02-06-2025,Europe West,Storage,443,474,26.98,98.7,1.05,0
31-10-2024,US East,Storage,137,154,11.98,97.86,1.46,0
20-04-2025,India South,Storage,223,260,21.09,98.1,1.21,0
03-05-2025,US North,Storage,660,824,57.2,98.64,1.37,0
05-04-2025,Europe West,Compute,111,137,19.9,98.16,0.89,0
06-04-2025,US South,Compute,336,412,56.49,99.11,1.32,0
18-04-2024,India South,Compute,524,621,66.38,99.86,1.31,0
12-01-2025,India South,Compute,617,740,82.62,98.18,1.42,0
04-10-2024,Asia East,Compute,318,340,62.86,98.61,0.9,0
14-08-2024,US North,Storage,473,496,35.46,97.99,1.23,0
16-07-2024,Europe West,Compute,181,207,27.45,97.18,0.92,0
16-02-2024,US South,Compute,361,412,59.35,97.31,0.81,0
17-01-2025,Asia East,Storage,325,350,29.76,98.27,1.06,0
24-02-2025,US South,Storage,99,115,8.74,97.46,1.12,0
22-07-2024,US West,Compute,517,588,88.36,98.96,1.2,0
17-12-2024,US East,Storage,210,246,14.62,97.06,1.11,0
31-03-2024,US East,Storage,121,147,7.56,97.27,1.01,0
06-04-2024,India South,Compute,508,622,61.25,99.4,1.11,0
04-03-2024,US North,Compute,712,858,110.1,97.54,1.49,0
23-03-2025,US East,Storage,302,357,28.86,99.72,1.21,0
27-03-2025,US North,Storage,82,91,7.18,99.56,1.47,0
21-05-2025,Asia East,Storage,436,466,42.65,99.74,1.49,0
09-07-2024,US West,Compute,361,399,61.55,99.49,1.43,0
27-01-2024,US North,Compute,348,370,68.4,98.24,0.98,0
05-08-2024,US North,Compute,277,317,42.21,99.55,1.14,0
18-07-2024,US East,Storage,385,477,29.47,98.02,1.01,0
05-07-2024,Europe West,Storage,93,110,8.24,99.66,0.87,0
18-02-2025,US South,Compute,306,359,45.48,97.18,0.89,0
09-01-2024,US West,Compute,245,290,42.85,99.52,0.93,0
21-01-2025,Asia East,Storage,115,131,6.86,98.79,1.02,0
16-06-2025,US West,Storage,243,303,23.08,97.36,1.09,0
10-09-2024,US North,Storage,188,233,11.33,99.08,1.38,1
22-02-2024,US North,Storage,87,96,5.72,97.13,1.02,0
08-10-2024,US West,Compute,296,314,39.03,99.65,1.14,0
18-05-2025,India South,Storage,331,403,27.17,99.96,1,0
12-04-2025,India South,Compute,632,726,104.99,97.03,1.4,0
21-05-2024,US East,Storage,150,180,7.66,97.28,1.14,0
05-09-2024,US South,Storage,666,832,35.48,99.91,1.43,0
12-04-2025,US South,Compute,355,397,60.89,99.44,0.82,0
29-05-2024,US North,Storage,272,320,25.49,97.28,0.96,0
27-01-2024,Asia East,Storage,312,359,25.67,98.36,1.04,0
06-01-2024,US North,Compute,204,238,24.82,98.76,0.84,0
08-05-2024,Asia East,Compute,511,583,71.86,97.45,1.03,0
25-06-2024,Europe West,Storage,278,328,23.04,99.7,0.83,1
15-06-2025,US West,Storage,454,534,38.86,97.67,1,0
19-04-2025,India South,Compute,170,196,28.94,98.41,1.36,1
04-03-2024,Europe West,Storage,282,304,17.7,99.64,1.1,0
22-01-2024,Asia East,Storage,264,288,17.71,99.42,1.26,0
14-07-2024,US South,Storage,166,193,14.86,98.07,1.45,0
10-10-2024,US West,Compute,209,246,35.06,97.25,0.85,0
24-12-2024,US East,Compute,116,143,22.14,98.31,1.05,0
28-10-2024,India South,Storage,273,324,23.54,97.11,1.3,0
17-08-2024,US West,Compute,508,539,70.81,98.44,1.07,0
10-03-2024,India South,Compute,539,665,92.55,98.94,1.38,0
11-05-2024,Asia East,Storage,218,257,16.56,99.86,1.22,1
14-11-2024,US East,Compute,269,312,47.35,99.44,0.81,0
28-09-2024,Europe West,Storage,65,75,5.27,99.41,1.06,0
09-09-2024,India South,Storage,260,293,20.51,98.81,1.27,1
28-09-2024,US South,Compute,280,295,38.78,99.85,0.88,0
27-03-2024,US West,Compute,472,562,80.94,97.8,1.37,1
30-03-2024,US North,Storage,421,523,25.48,97.38,1.06,0
26-01-2025,US South,Storage,252,276,21.92,97.64,0.9,0
16-04-2025,US South,Storage,469,545,43.16,97.55,1.39,0
08-02-2024,US South,Compute,285,334,40.25,99.14,0.97,0
14-01-2025,US South,Storage,68,71,5.4,99.92,1.29,0
31-05-2025,US North,Storage,650,782,37.44,99.11,1.37,0
12-06-2025,India South,Storage,286,323,18.22,97.29,1.1,0
09-04-2025,US West,Compute,74,78,9.28,97.35,0.81,0
27-11-2024,US West,Storage,163,183,12.41,98.86,1.17,0
21-01-2024,US North,Compute,418,511,66.09,98.6,0.94,0
26-06-2024,India South,Storage,239,297,12.49,98.87,1.14,0
01-12-2024,US West,Storage,407,468,21.17,99.35,1.48,0
19-08-2024,Europe West,Storage,226,270,15.9,99.36,0.85,0
26-05-2024,US West,Compute,99,110,14.07,98.54,1,0
11-06-2024,Europe West,Storage,188,206,14.12,97.24,0.83,0
18-02-2025,Asia East,Compute,315,360,50.2,99.05,1.01,0
05-12-2024,US East,Storage,405,448,36.35,99.92,0.89,0
09-12-2024,Asia East,Storage,295,359,29.02,97.51,1.45,0
07-02-2025,US West,Storage,362,429,27.04,98.13,0.94,0
02-04-2025,Asia East,Storage,348,411,25.24,97.75,1.08,1
22-04-2024,India South,Compute,439,519,70.58,97.43,1.17,0
18-01-2024,US West,Storage,302,337,25.64,99.66,1.27,0
10-10-2024,India South,Storage,151,170,8.51,98.02,1.08,0
30-09-2024,Asia East,Storage,485,603,31.97,98.71,1.19,0
16-05-2024,Asia East,Storage,153,182,8.09,99.67,1.41,1
11-03-2024,US North,Storage,197,235,16.78,99.14,0.9,0
07-02-2024,Europe West,Compute,49,52,7.15,97.76,0.96,1
28-11-2024,US North,Compute,86,107,13.13,97.45,1,0
02-10-2024,Europe West,Compute,278,301,54.94,97.57,1.11,0
17-03-2025,Asia East,Compute,215,231,31.6,99.58,0.99,0
02-01-2024,US North,Compute,426,527,52.64,99.01,0.97,0
15-04-2024,US South,Storage,151,159,13.63,98.35,0.9,0
28-01-2024,US West,Compute,107,132,20.45,98.7,1.01,1
03-03-2024,US South,Storage,379,409,31.64,98.47,1.42,0
25-01-2024,Asia East,Compute,385,467,59.81,98.07,0.83,0
19-03-2025,Europe West,Storage,474,512,35.27,98.66,1.24,0
21-09-2024,US East,Storage,481,572,31.24,97.92,1.24,0
19-04-2024,Asia East,Compute,150,165,24.78,98.67,1.32,0
30-11-2024,US South,Storage,324,366,24.34,97.27,1.13,0
08-09-2024,US South,Storage,54,57,3.32,97.63,1.25,1
11-06-2024,US East,Storage,476,573,44.92,97.88,1.25,0
23-04-2024,Europe West,Storage,537,651,27.24,99.19,1.23,0
24-12-2024,Europe West,Compute,162,170,29.07,99.96,0.87,0
28-09-2024,India South,Compute,329,374,60.22,98.8,1.42,1
01-05-2024,US West,Compute,294,338,36.86,99.33,0.98,0
26-02-2024,Asia East,Compute,402,468,63.78,97.57,1.05,0
01-01-2024,Asia East,Compute,492,539,80.03,98,1.18,0
10-05-2024,US East,Compute,316,368,51.05,97.43,1.16,0
19-01-2025,US South,Storage,471,584,24.18,98.74,1.09,0
24-06-2024,US North,Storage,129,142,10.78,99.03,1.08,0
29-06-2025,Asia East,Storage,339,363,31.26,99.16,1.49,0
21-04-2025,US North,Compute,59,63,10.77,97.38,1.01,0
18-09-2024,India South,Compute,586,717,72.19,98.61,1.46,0
12-02-2025,US East,Storage,630,742,45.33,98.79,1.35,0
29-03-2025,US West,Storage,511,545,36.73,97.35,1.32,1
09-02-2024,US East,Compute,294,322,40.74,98.31,1.08,0
10-02-2025,India South,Storage,241,287,20.14,98.23,1.06,0
22-03-2025,India South,Compute,218,267,40.73,99.88,1.03,0
