Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag,lag_1,lag_2,rolling_mean_3,usage_spike
2024-01-04,Asia East,Compute,236,290,46.79,99.25,0.83,1,413.0,539.0,396.0,0
2024-01-04,Asia East,Compute,224,259,37.05,99.08,0.88,0,236.0,413.0,291.0,0
2024-01-04,Asia East,Compute,283,350,34.03,97.63,1.11,0,224.0,236.0,247.66666666666666,0
2024-01-04,Asia East,Compute,156,179,20.16,98.9,1.44,1,283.0,224.0,221.0,0
2024-01-04,Asia East,Compute,491,521,86.24,97.12,1.48,0,156.0,283.0,310.0,1
2024-01-04,Asia East,Compute,110,131,18.22,97.54,0.87,0,491.0,156.0,252.33333333333334,0
2024-01-05,Asia East,Compute,493,575,59.68,98.32,1.39,1,110.0,491.0,364.6666666666667,1
2024-01-05,Asia East,Compute,300,369,50.84,98.58,1.14,1,493.0,110.0,301.0,0
2024-01-05,Asia East,Compute,496,619,91.19,97.1,1.11,0,300.0,493.0,429.6666666666667,1
2024-01-05,Asia East,Compute,413,452,80.39,97.23,1.21,0,496.0,300.0,403.0,0
2024-01-05,Asia East,Compute,398,464,72.47,98.61,0.86,0,413.0,496.0,435.6666666666667,0
2024-01-05,Asia East,Compute,336,360,64.32,99.8,1.3,0,398.0,413.0,382.3333333333333,0
2024-01-05,Asia East,Compute,386,445,69.92,99.22,1.06,0,336.0,398.0,373.3333333333333,0
2024-01-05,Asia East,Compute,367,451,64.03,98.56,0.86,0,386.0,336.0,363.0,0
2024-01-06,Asia East,Compute,243,274,47.23,98.35,1.33,0,367.0,386.0,332.0,0
2024-01-06,Asia East,Compute,380,461,55.61,98.8,0.99,0,243.0,367.0,330.0,0
2024-01-06,Asia East,Compute,419,457,53.3,97.39,1.11,1,380.0,243.0,347.3333333333333,0
2024-01-06,Asia East,Compute,452,509,54.89,99.02,0.99,0,419.0,380.0,417.0,0
2024-01-06,Asia East,Compute,411,436,76.3,98.36,1.41,0,452.0,419.0,427.3333333333333,0
2024-01-06,Asia East,Compute,331,347,53.5,98.87,0.86,0,411.0,452.0,398.0,0
2024-01-07,Asia East,Compute,51,61,9.63,99.38,0.85,0,331.0,411.0,264.3333333333333,0
2024-01-07,Asia East,Compute,307,327,48.35,99.76,0.83,0,51.0,331.0,229.66666666666666,0
2024-01-07,Asia East,Compute,358,429,55.19,98.04,0.8,0,307.0,51.0,238.66666666666666,0
2024-01-07,Asia East,Compute,662,696,92.5,98.66,1.35,0,358.0,307.0,442.3333333333333,1
2024-01-08,Asia East,Compute,176,195,24.77,98.2,0.98,1,662.0,358.0,398.6666666666667,0
2024-01-08,Asia East,Compute,82,87,14.14,98.48,1.07,0,176.0,662.0,306.6666666666667,0
2024-01-08,Asia East,Compute,329,392,47.2,99.9,1.39,0,82.0,176.0,195.66666666666666,0
2024-01-08,Asia East,Compute,408,434,54.59,97.08,1.05,0,329.0,82.0,273.0,0
2024-01-08,Asia East,Compute,224,277,33.09,98.48,1.38,0,408.0,329.0,320.3333333333333,0
2024-01-09,Asia East,Compute,85,98,14.41,97.4,0.86,0,224.0,408.0,239.0,0
2024-01-09,Asia East,Compute,271,314,46.98,99.28,1.28,0,85.0,224.0,193.33333333333334,0
2024-01-09,Asia East,Compute,236,267,47.01,97.72,0.82,0,271.0,85.0,197.33333333333334,0
2024-01-09,Asia East,Compute,67,76,9.18,98.91,1.17,0,236.0,271.0,191.33333333333334,0
2024-01-09,Asia East,Compute,101,117,19.61,97.39,1.18,0,67.0,236.0,134.66666666666666,0
2024-01-09,Asia East,Compute,94,101,17.93,99.09,0.93,0,101.0,67.0,87.33333333333333,0
2024-01-10,Asia East,Compute,200,234,29.71,99.24,1.44,0,94.0,101.0,131.66666666666666,0
2024-01-10,Asia East,Compute,494,585,89.84,99.5,0.99,0,200.0,94.0,262.6666666666667,1
2024-01-10,Asia East,Compute,120,146,15.62,97.12,1.39,0,494.0,200.0,271.3333333333333,0
2024-01-10,Asia East,Compute,206,226,31.54,97.5,0.85,0,120.0,494.0,273.3333333333333,0
2024-01-10,Asia East,Compute,563,686,72.42,97.72,1.47,0,206.0,120.0,296.3333333333333,1
2024-01-11,Asia East,Compute,108,129,18.82,99.03,0.92,0,563.0,206.0,292.3333333333333,0
2024-01-11,Asia East,Compute,232,279,28.15,97.1,1.13,0,108.0,563.0,301.0,0
2024-01-11,Asia East,Compute,268,304,46.67,99.53,1.28,0,232.0,108.0,202.66666666666666,0
2024-01-11,Asia East,Compute,315,345,45.68,99.16,0.99,0,268.0,232.0,271.6666666666667,0
2024-01-11,Asia East,Compute,246,287,37.22,99.32,0.94,0,315.0,268.0,276.3333333333333,0
2024-01-11,Asia East,Compute,156,190,30.45,98.64,1.24,0,246.0,315.0,239.0,0
2024-01-12,Asia East,Compute,490,533,67.22,97.15,1.14,0,156.0,246.0,297.3333333333333,1
2024-01-12,Asia East,Compute,184,223,29.28,98.66,0.94,0,490.0,156.0,276.6666666666667,0
2024-01-12,Asia East,Compute,388,452,74.05,98.7,1.01,0,184.0,490.0,354.0,0
2024-01-12,Asia East,Compute,97,106,14.47,98.96,0.85,0,388.0,184.0,223.0,0
2024-01-12,Asia East,Compute,596,744,77.17,98.63,1.44,0,97.0,388.0,360.3333333333333,1
2024-01-12,Asia East,Compute,305,321,38.09,98.09,0.82,1,596.0,97.0,332.6666666666667,0
2024-01-13,Asia East,Compute,254,295,30.74,98.77,1.42,0,305.0,596.0,385.0,0
2024-01-13,Asia East,Compute,241,262,35.3,98.78,0.87,0,254.0,305.0,266.6666666666667,0
2024-01-13,Asia East,Compute,150,161,24.1,99.21,1.45,0,241.0,254.0,215.0,0
2024-01-13,Asia East,Compute,303,355,60.31,99.02,1.27,0,150.0,241.0,231.33333333333334,0
2024-01-13,Asia East,Compute,561,620,84.44,98.34,1.39,0,303.0,150.0,338.0,1
2024-01-13,Asia East,Compute,191,226,26.73,97.87,1.07,0,561.0,303.0,351.6666666666667,0
2024-01-13,Asia East,Compute,286,305,38.16,97.5,0.96,0,191.0,561.0,346.0,0
2024-01-13,Asia East,Compute,261,322,42.31,97.84,1.0,0,286.0,191.0,246.0,0
2024-01-14,Asia East,Compute,309,372,61.64,97.38,1.18,0,261.0,286.0,285.3333333333333,0
2024-01-14,Asia East,Compute,243,298,45.95,97.85,0.84,1,309.0,261.0,271.0,0
2024-01-14,Asia East,Compute,227,272,32.08,97.58,1.04,0,243.0,309.0,259.6666666666667,0
2024-01-14,Asia East,Compute,584,630,101.83,99.01,1.29,0,227.0,243.0,351.3333333333333,1
2024-01-15,Asia East,Compute,699,753,117.4,97.75,1.47,0,584.0,227.0,503.3333333333333,1
2024-01-15,Asia East,Compute,289,338,41.0,98.41,1.15,0,699.0,584.0,524.0,0
2024-01-15,Asia East,Compute,409,435,66.17,99.2,0.86,0,289.0,699.0,465.6666666666667,0
2024-01-16,Asia East,Compute,368,444,64.29,97.92,1.09,0,409.0,289.0,355.3333333333333,0
2024-01-16,Asia East,Compute,534,597,104.79,99.93,1.18,0,368.0,409.0,437.0,1
2024-01-17,Asia East,Compute,120,138,17.04,98.61,0.86,1,534.0,368.0,340.6666666666667,0
2024-01-17,Asia East,Compute,567,658,107.52,99.41,1.47,0,120.0,534.0,407.0,1
2024-01-17,Asia East,Compute,132,148,18.18,99.64,1.08,0,567.0,120.0,273.0,0
2024-01-17,Asia East,Compute,458,526,58.12,99.58,1.06,0,132.0,567.0,385.6666666666667,0
2024-01-17,Asia East,Compute,497,553,85.83,97.34,1.43,0,458.0,132.0,362.3333333333333,1
2024-01-17,Asia East,Compute,196,220,37.39,98.25,1.48,1,497.0,458.0,383.6666666666667,0
2024-01-18,Asia East,Compute,350,395,45.0,97.58,1.06,1,196.0,497.0,347.6666666666667,0
2024-01-18,Asia East,Compute,285,337,50.46,99.95,0.91,0,350.0,196.0,277.0,0
2024-01-19,Asia East,Compute,175,194,33.5,98.95,1.02,0,285.0,350.0,270.0,0
2024-01-19,Asia East,Compute,349,408,53.89,99.03,1.38,0,175.0,285.0,269.6666666666667,0
2024-01-19,Asia East,Compute,253,315,36.79,99.35,1.0,0,349.0,175.0,259.0,0
2024-01-19,Asia East,Compute,82,93,12.93,98.14,0.94,0,253.0,349.0,228.0,0
2024-01-19,Asia East,Compute,197,243,28.19,97.8,1.12,0,82.0,253.0,177.33333333333334,0
2024-01-19,Asia East,Compute,435,474,85.01,98.49,0.97,0,197.0,82.0,238.0,0
2024-01-19,Asia East,Compute,283,301,51.91,98.03,1.25,0,435.0,197.0,305.0,0
2024-01-20,Asia East,Compute,193,214,24.9,98.51,0.82,0,283.0,435.0,303.6666666666667,0
2024-01-20,Asia East,Compute,421,496,67.93,97.74,1.01,0,193.0,283.0,299.0,0
2024-01-20,Asia East,Compute,196,221,31.23,98.41,0.82,0,421.0,193.0,270.0,0
2024-01-21,Asia East,Compute,178,197,24.13,98.41,0.84,0,196.0,421.0,265.0,0
2024-01-21,Asia East,Compute,189,206,29.66,98.27,1.13,1,178.0,196.0,187.66666666666666,0
2024-01-21,Asia East,Compute,449,542,60.5,99.86,0.92,0,189.0,178.0,272.0,0
2024-01-22,Asia East,Compute,106,128,15.01,98.97,1.21,0,449.0,189.0,248.0,0
2024-01-22,Asia East,Compute,469,526,58.66,99.23,1.04,0,106.0,449.0,341.3333333333333,1
2024-01-22,Asia East,Compute,391,487,52.55,97.63,0.92,0,469.0,106.0,322.0,0
2024-01-22,Asia East,Compute,95,100,14.55,97.94,1.15,0,391.0,469.0,318.3333333333333,0
2024-01-22,Asia East,Compute,282,348,40.38,98.73,0.8,0,95.0,391.0,256.0,0
2024-01-22,Asia East,Compute,624,683,84.66,98.18,1.43,0,282.0,95.0,333.6666666666667,1
2024-01-23,Asia East,Compute,168,206,25.12,99.13,0.82,0,624.0,282.0,358.0,0
2024-01-23,Asia East,Compute,404,481,73.33,99.65,1.38,0,168.0,624.0,398.6666666666667,0
2024-01-23,Asia East,Compute,614,660,97.9,99.62,1.45,0,404.0,168.0,395.3333333333333,1
2024-01-24,Asia East,Compute,99,105,12.56,98.41,1.05,0,614.0,404.0,372.3333333333333,0
2024-01-24,Asia East,Compute,464,520,59.96,98.54,1.43,0,99.0,614.0,392.3333333333333,0
2024-01-25,Asia East,Compute,385,467,59.81,98.07,0.83,0,464.0,99.0,316.0,0
2024-01-25,Asia East,Compute,430,526,84.15,98.25,1.37,0,385.0,464.0,426.3333333333333,0
2024-01-25,Asia East,Compute,262,315,38.75,99.57,1.19,1,430.0,385.0,359.0,0
2024-01-25,Asia East,Compute,341,377,53.01,97.91,0.97,0,262.0,430.0,344.3333333333333,0
2024-01-25,Asia East,Compute,383,405,74.11,98.76,0.92,0,341.0,262.0,328.6666666666667,0
2024-01-25,Asia East,Compute,169,204,28.06,99.22,1.23,0,383.0,341.0,297.6666666666667,0
2024-01-25,Asia East,Compute,236,266,40.87,98.2,0.83,1,169.0,383.0,262.6666666666667,0
2024-01-26,Asia East,Compute,346,364,69.0,98.94,1.24,1,236.0,169.0,250.33333333333334,0
2024-01-26,Asia East,Compute,256,289,46.68,99.95,0.97,1,346.0,236.0,279.3333333333333,0
2024-01-26,Asia East,Compute,104,125,14.3,97.41,0.89,0,256.0,346.0,235.33333333333334,0
2024-01-26,Asia East,Compute,305,335,46.02,99.51,0.96,0,104.0,256.0,221.66666666666666,0
2024-01-26,Asia East,Compute,136,155,21.89,99.64,1.0,0,305.0,104.0,181.66666666666666,0
2024-01-26,Asia East,Compute,275,307,54.41,97.74,0.81,0,136.0,305.0,238.66666666666666,0
2024-01-27,Asia East,Compute,570,665,89.69,97.75,1.25,0,275.0,136.0,327.0,1
2024-01-28,Asia East,Compute,175,217,31.49,99.85,1.43,0,570.0,275.0,340.0,0
2024-01-28,Asia East,Compute,380,421,49.29,99.05,1.01,0,175.0,570.0,375.0,0
2024-01-28,Asia East,Compute,73,88,12.3,99.83,0.87,0,380.0,175.0,209.33333333333334,0
2024-01-28,Asia East,Compute,43,48,6.19,97.09,0.86,0,73.0,380.0,165.33333333333334,0
2024-01-29,Asia East,Compute,95,99,16.48,97.81,1.09,0,43.0,73.0,70.33333333333333,0
2024-01-29,Asia East,Compute,198,242,39.33,98.73,1.45,0,95.0,43.0,112.0,0
2024-01-29,Asia East,Compute,413,498,60.61,98.85,1.25,0,198.0,95.0,235.33333333333334,0
2024-01-29,Asia East,Compute,381,447,72.06,99.21,1.1,0,413.0,198.0,330.6666666666667,0
2024-01-29,Asia East,Compute,549,611,78.06,99.65,1.15,0,381.0,413.0,447.6666666666667,1
2024-01-29,Asia East,Compute,160,199,26.3,97.27,1.25,0,549.0,381.0,363.3333333333333,0
2024-01-29,Asia East,Compute,292,342,54.77,99.07,1.14,0,160.0,549.0,333.6666666666667,0
2024-01-30,Asia East,Compute,91,98,13.11,97.63,1.27,0,292.0,160.0,181.0,0
2024-01-30,Asia East,Compute,424,457,69.04,97.74,1.43,0,91.0,292.0,269.0,0
2024-01-30,Asia East,Compute,403,455,49.9,98.9,1.43,1,424.0,91.0,306.0,0
2024-01-30,Asia East,Compute,224,251,44.33,98.1,0.83,1,403.0,424.0,350.3333333333333,0
2024-01-30,Asia East,Compute,236,283,31.98,98.35,1.22,0,224.0,403.0,287.6666666666667,0
2024-01-30,Asia East,Compute,191,238,30.42,97.1,1.12,0,236.0,224.0,217.0,0
2024-01-30,Asia East,Compute,664,733,115.35,98.23,1.42,0,191.0,236.0,363.6666666666667,1
2024-01-30,Asia East,Compute,476,515,88.7,99.04,1.2,0,664.0,191.0,443.6666666666667,1
2024-01-30,Asia East,Compute,84,96,11.36,97.94,0.97,0,476.0,664.0,408.0,0
2024-01-31,Asia East,Compute,115,125,15.09,97.62,1.2,0,84.0,476.0,225.0,0
2024-01-31,Asia East,Compute,223,260,31.11,99.98,1.14,0,115.0,84.0,140.66666666666666,0
2024-01-31,Asia East,Compute,266,304,53.14,97.49,0.97,0,223.0,115.0,201.33333333333334,0
2024-01-31,Asia East,Compute,155,166,20.82,99.46,0.89,1,266.0,223.0,214.66666666666666,0
2024-01-31,Asia East,Compute,98,109,13.29,99.68,0.84,0,155.0,266.0,173.0,0
2024-01-31,Asia East,Compute,465,565,57.18,98.86,1.15,0,98.0,155.0,239.33333333333334,0
2024-02-01,Asia East,Compute,262,295,46.29,99.04,1.28,0,465.0,98.0,275.0,0
2024-02-01,Asia East,Compute,102,109,17.52,98.04,1.33,0,262.0,465.0,276.3333333333333,0
2024-02-01,Asia East,Compute,222,241,39.31,98.84,0.81,0,102.0,262.0,195.33333333333334,0
2024-02-01,Asia East,Compute,438,488,84.48,99.82,1.1,0,222.0,102.0,254.0,0
2024-02-01,Asia East,Compute,282,297,37.71,99.08,0.83,1,438.0,222.0,314.0,0
2024-02-02,Asia East,Compute,537,621,91.41,97.81,1.37,0,282.0,438.0,419.0,1
2024-02-02,Asia East,Compute,525,642,71.87,97.01,1.41,0,537.0,282.0,448.0,1
2024-02-03,Asia East,Compute,127,147,19.69,99.89,0.85,0,525.0,537.0,396.3333333333333,0
2024-02-03,Asia East,Compute,319,354,58.94,99.48,0.87,0,127.0,525.0,323.6666666666667,0
2024-02-03,Asia East,Compute,179,194,25.21,99.92,1.32,1,319.0,127.0,208.33333333333334,0
2024-02-03,Asia East,Compute,403,498,71.07,99.43,1.03,0,179.0,319.0,300.3333333333333,0
2024-02-03,Asia East,Compute,500,596,63.3,98.82,1.14,0,403.0,179.0,360.6666666666667,1
2024-02-04,Asia East,Compute,77,91,9.73,98.26,0.94,1,500.0,403.0,326.6666666666667,0
2024-02-04,Asia East,Compute,395,438,71.45,98.61,0.83,0,77.0,500.0,324.0,0
2024-02-04,Asia East,Compute,329,389,61.91,97.32,0.91,1,395.0,77.0,267.0,0
2024-02-04,Asia East,Compute,75,79,13.07,97.71,1.33,0,329.0,395.0,266.3333333333333,0
2024-02-05,Asia East,Compute,439,479,81.19,99.66,0.94,0,75.0,329.0,281.0,0
2024-02-05,Asia East,Compute,560,694,100.76,97.66,1.46,0,439.0,75.0,358.0,1
2024-02-05,Asia East,Compute,197,225,38.92,97.12,0.9,0,560.0,439.0,398.6666666666667,0
2024-02-05,Asia East,Compute,191,233,29.04,99.44,0.93,0,197.0,560.0,316.0,0
2024-02-05,Asia East,Compute,166,176,29.65,97.26,0.99,0,191.0,197.0,184.66666666666666,0
2024-02-06,Asia East,Compute,101,117,15.96,98.0,0.96,0,166.0,191.0,152.66666666666666,0
2024-02-06,Asia East,Compute,413,514,76.93,97.38,0.87,0,101.0,166.0,226.66666666666666,0
2024-02-06,Asia East,Compute,391,486,66.76,99.86,1.14,0,413.0,101.0,301.6666666666667,0
2024-02-07,Asia East,Compute,128,140,17.61,98.05,1.1,0,391.0,413.0,310.6666666666667,0
2024-02-07,Asia East,Compute,293,321,36.14,97.84,1.03,0,128.0,391.0,270.6666666666667,0
2024-02-07,Asia East,Compute,449,472,73.36,99.17,1.16,1,293.0,128.0,290.0,0
2024-02-08,Asia East,Compute,650,779,91.28,98.82,1.42,0,449.0,293.0,464.0,1
2024-02-08,Asia East,Compute,252,288,30.6,99.23,1.22,0,650.0,449.0,450.3333333333333,0
2024-02-08,Asia East,Compute,195,223,33.61,99.87,1.28,0,252.0,650.0,365.6666666666667,0
2024-02-08,Asia East,Compute,350,385,46.86,99.93,1.45,0,195.0,252.0,265.6666666666667,0
2024-02-08,Asia East,Compute,651,774,104.62,99.57,1.38,0,350.0,195.0,398.6666666666667,1
2024-02-09,Asia East,Compute,648,805,123.69,97.04,1.42,0,651.0,350.0,549.6666666666666,1
2024-02-09,Asia East,Compute,118,138,16.58,98.87,1.36,0,648.0,651.0,472.3333333333333,0
2024-02-09,Asia East,Compute,341,376,67.48,97.94,1.17,0,118.0,648.0,369.0,0
2024-02-09,Asia East,Compute,121,127,17.27,99.23,0.84,0,341.0,118.0,193.33333333333334,0
2024-02-09,Asia East,Compute,323,391,43.81,99.15,1.06,0,121.0,341.0,261.6666666666667,0
2024-02-10,Asia East,Compute,333,413,66.39,98.24,0.91,1,323.0,121.0,259.0,0
2024-02-10,Asia East,Compute,691,789,129.38,98.79,1.4,0,333.0,323.0,449.0,1
2024-02-10,Asia East,Compute,112,120,14.38,98.49,1.44,1,691.0,333.0,378.6666666666667,0
2024-02-10,Asia East,Compute,347,424,41.86,99.22,1.48,0,112.0,691.0,383.3333333333333,0
2024-02-10,Asia East,Compute,56,69,6.96,99.97,0.8,1,347.0,112.0,171.66666666666666,0
2024-02-10,Asia East,Compute,234,246,43.01,98.81,1.15,0,56.0,347.0,212.33333333333334,0
2024-02-10,Asia East,Compute,469,511,86.68,99.19,1.49,0,234.0,56.0,253.0,1
2024-02-10,Asia East,Compute,562,681,81.16,97.24,1.46,0,469.0,234.0,421.6666666666667,1
2024-02-10,Asia East,Compute,350,399,49.13,99.72,1.18,0,562.0,469.0,460.3333333333333,0
2024-02-11,Asia East,Compute,382,409,66.86,98.78,1.46,0,350.0,562.0,431.3333333333333,0
2024-02-11,Asia East,Compute,351,400,63.21,98.43,1.44,0,382.0,350.0,361.0,0
2024-02-11,Asia East,Compute,586,627,83.17,97.03,1.43,0,351.0,382.0,439.6666666666667,1
2024-02-11,Asia East,Compute,240,297,36.4,98.2,1.3,0,586.0,351.0,392.3333333333333,0
2024-02-11,Asia East,Compute,239,275,32.41,98.41,0.92,1,240.0,586.0,355.0,0
2024-02-11,Asia East,Compute,199,214,31.98,98.1,0.89,0,239.0,240.0,226.0,0
2024-02-11,Asia East,Compute,160,188,31.59,97.62,1.02,0,199.0,239.0,199.33333333333334,0
2024-02-12,Asia East,Compute,211,223,30.37,97.77,1.22,0,160.0,199.0,190.0,0
2024-02-12,Asia East,Compute,160,184,26.42,99.88,1.5,0,211.0,160.0,177.0,0
2024-02-12,Asia East,Compute,390,460,53.46,99.01,0.95,0,160.0,211.0,253.66666666666666,0
2024-02-13,Asia East,Compute,503,552,79.18,98.0,1.49,0,390.0,160.0,351.0,1
2024-02-13,Asia East,Compute,183,211,30.44,97.53,1.36,0,503.0,390.0,358.6666666666667,0
2024-02-13,Asia East,Compute,311,372,55.15,99.78,1.28,1,183.0,503.0,332.3333333333333,0
2024-02-13,Asia East,Compute,232,252,44.09,97.79,0.93,0,311.0,183.0,242.0,0
2024-02-13,Asia East,Compute,309,385,49.79,99.18,1.3,0,232.0,311.0,284.0,0
2024-02-14,Asia East,Compute,154,163,27.17,97.91,1.46,1,309.0,232.0,231.66666666666666,0
2024-02-14,Asia East,Compute,264,328,33.95,99.36,1.38,0,154.0,309.0,242.33333333333334,0
2024-02-14,Asia East,Compute,444,485,67.3,97.18,1.41,0,264.0,154.0,287.3333333333333,0
2024-02-14,Asia East,Compute,290,340,35.66,99.25,1.0,0,444.0,264.0,332.6666666666667,0
2024-02-15,Asia East,Compute,303,337,43.33,99.57,0.84,0,290.0,444.0,345.6666666666667,0
2024-02-15,Asia East,Compute,511,566,83.88,99.47,1.34,0,303.0,290.0,368.0,1
2024-02-15,Asia East,Compute,305,335,36.98,98.4,0.91,0,511.0,303.0,373.0,0
2024-02-15,Asia East,Compute,418,447,52.5,97.64,0.84,0,305.0,511.0,411.3333333333333,0
2024-02-15,Asia East,Compute,473,530,66.81,99.03,0.99,0,418.0,305.0,398.6666666666667,1
2024-02-15,Asia East,Compute,356,428,64.62,97.6,1.21,0,473.0,418.0,415.6666666666667,0
2024-02-15,Asia East,Compute,409,483,55.35,97.69,0.84,0,356.0,473.0,412.6666666666667,0
2024-02-15,Asia East,Compute,240,285,45.52,97.23,0.98,0,409.0,356.0,335.0,0
2024-02-15,Asia East,Compute,54,60,8.41,98.65,0.82,0,240.0,409.0,234.33333333333334,0
2024-02-15,Asia East,Compute,558,589,70.02,99.07,1.39,0,54.0,240.0,284.0,1
2024-02-16,Asia East,Compute,511,562,89.88,98.74,1.05,0,558.0,54.0,374.3333333333333,1
2024-02-16,Asia East,Compute,168,182,29.27,97.01,1.03,1,511.0,558.0,412.3333333333333,0
2024-02-16,Asia East,Compute,548,627,102.98,99.75,1.2,0,168.0,511.0,409.0,1
2024-02-16,Asia East,Compute,220,251,27.02,99.6,1.38,1,548.0,168.0,312.0,0
2024-02-16,Asia East,Compute,222,276,41.94,97.93,1.02,0,220.0,548.0,330.0,0
2024-02-16,Asia East,Compute,369,426,68.94,97.89,0.85,0,222.0,220.0,270.3333333333333,0
2024-02-17,Asia East,Compute,275,322,44.85,99.13,0.83,0,369.0,222.0,288.6666666666667,0
2024-02-17,Asia East,Compute,121,142,21.09,97.42,1.15,0,275.0,369.0,255.0,0
2024-02-17,Asia East,Compute,304,335,50.89,97.36,1.09,0,121.0,275.0,233.33333333333334,0
2024-02-17,Asia East,Compute,357,438,69.76,97.5,1.22,0,304.0,121.0,260.6666666666667,0
2024-02-18,Asia East,Compute,621,678,119.34,98.68,1.49,0,357.0,304.0,427.3333333333333,1
2024-02-18,Asia East,Compute,181,208,24.43,99.8,1.25,0,621.0,357.0,386.3333333333333,0
2024-02-18,Asia East,Compute,558,668,78.71,99.85,1.33,0,181.0,621.0,453.3333333333333,1
2024-02-18,Asia East,Compute,618,744,104.68,99.53,1.33,0,558.0,181.0,452.3333333333333,1
2024-02-19,Asia East,Compute,458,517,61.9,99.94,1.0,0,618.0,558.0,544.6666666666666,0
2024-02-19,Asia East,Compute,259,301,50.1,97.57,1.06,1,458.0,618.0,445.0,0
2024-02-20,Asia East,Compute,421,481,59.35,99.9,0.86,0,259.0,458.0,379.3333333333333,0
2024-02-20,Asia East,Compute,471,511,93.39,98.54,1.14,0,421.0,259.0,383.6666666666667,1
2024-02-20,Asia East,Compute,669,707,91.53,97.17,1.4,0,471.0,421.0,520.3333333333334,1
2024-02-20,Asia East,Compute,251,286,31.14,98.35,1.0,0,669.0,471.0,463.6666666666667,0
2024-02-20,Asia East,Compute,116,123,22.48,97.42,0.96,0,251.0,669.0,345.3333333333333,0
2024-02-20,Asia East,Compute,72,89,12.56,97.7,0.89,0,116.0,251.0,146.33333333333334,0
2024-02-21,Asia East,Compute,261,312,40.62,99.1,1.01,0,72.0,116.0,149.66666666666666,0
2024-02-21,Asia East,Compute,301,367,53.74,99.53,1.09,0,261.0,72.0,211.33333333333334,0
2024-02-21,Asia East,Compute,278,334,39.7,98.32,0.93,0,301.0,261.0,280.0,0
2024-02-21,Asia East,Compute,511,632,75.06,97.52,1.14,0,278.0,301.0,363.3333333333333,1
2024-02-21,Asia East,Compute,551,647,69.89,99.05,1.49,0,511.0,278.0,446.6666666666667,1
2024-02-21,Asia East,Compute,348,427,52.04,99.76,1.09,0,551.0,511.0,470.0,0
2024-02-21,Asia East,Compute,482,554,80.25,99.98,1.33,0,348.0,551.0,460.3333333333333,1
2024-02-22,Asia East,Compute,273,295,34.31,98.1,0.88,0,482.0,348.0,367.6666666666667,0
2024-02-22,Asia East,Compute,409,501,79.68,98.12,0.99,0,273.0,482.0,388.0,0
2024-02-22,Asia East,Compute,427,511,66.28,99.6,1.36,0,409.0,273.0,369.6666666666667,0
2024-02-22,Asia East,Compute,494,609,63.33,99.43,1.33,1,427.0,409.0,443.3333333333333,1
